vendor_id,total_orders,accepted_orders,avg_rating,cancellation_rate,complaints_count,performance
176,252,106,3.1,0.05,6,Poor
177,3305,2378,3.4,0.08,44,Poor
178,4268,2637,3.3,0.16,12,Poor
179,4546,1535,2.8,0.05,5,Poor
180,816,594,3.7,0.41,34,Poor
181,4439,2887,3.4,0.15,94,Poor
182,2377,1530,4.2,0.49,52,Poor
183,2981,401,4.5,0.35,67,Poor
184,247,43,3.9,0.09,41,Average
185,1980,91,2.6,0.24,3,Poor
186,3632,2588,4.0,0.23,59,Poor
187,658,385,2.6,0.25,44,Poor
188,3322,3000,4.0,0.27,71,Poor
189,1197,1137,4.2,0.02,74,Average
190,4332,2406,3.0,0.34,65,Poor
191,3447,1379,4.5,0.24,81,Poor
192,2561,683,4.8,0.4,81,Poor
193,1844,1535,4.5,0.41,21,Poor
194,709,59,3.3,0.12,11,Poor
195,2861,1402,4.0,0.02,80,Average
196,1419,593,4.8,0.35,50,Poor
197,2036,1297,3.3,0.49,16,Poor
198,196,88,4.6,0.22,35,Poor
199,3269,1920,2.5,0.13,92,Poor
200,2961,2237,2.5,0.08,48,Poor
201,1784,1733,4.4,0.14,15,Average
202,1893,720,4.4,0.16,74,Average
203,538,530,4.5,0.21,43,Poor
204,3026,1303,4.8,0.33,21,Poor
205,2009,603,2.8,0.14,93,Poor
206,2435,1003,3.1,0.03,7,Poor
207,2969,478,4.8,0.19,17,Average
208,4786,2285,2.9,0.43,79,Poor
209,1852,638,4.2,0.25,83,Poor
210,4111,835,3.8,0.48,71,Poor
211,3419,2798,2.7,0.25,93,Poor
212,312,266,3.2,0.14,37,Poor
213,673,392,3.8,0.1,28,Average
214,1066,436,4.6,0.35,76,Poor
215,3693,1074,4.3,0.27,80,Poor
216,2099,387,4.1,0.3,80,Poor
217,3773,2626,3.7,0.38,72,Poor
218,4598,3737,3.2,0.36,1,Poor
219,3158,127,2.8,0.02,58,Poor
220,4140,2651,3.5,0.4,41,Poor
221,2106,858,2.6,0.27,87,Poor
222,3220,437,3.0,0.2,20,Poor
223,1732,1663,3.6,0.27,1,Poor
224,2305,840,3.5,0.31,4,Poor
225,1204,702,2.6,0.07,16,Poor
226,4549,3932,4.0,0.21,23,Poor
227,3241,275,3.9,0.17,7,Average
228,1746,1124,2.7,0.18,29,Poor
229,4041,2847,4.9,0.05,49,Average
230,4773,857,2.7,0.08,21,Poor
231,4732,2982,4.6,0.08,58,Average
232,1698,254,2.5,0.19,23,Poor
233,1495,572,4.7,0.45,25,Poor
234,4249,200,2.5,0.1,60,Poor
235,3973,176,4.4,0.21,7,Poor
236,303,78,3.4,0.16,11,Poor
237,3233,876,4.3,0.39,13,Poor
238,2607,1804,3.5,0.03,29,Poor
239,148,43,2.7,0.1,54,Poor
240,2250,1516,4.4,0.11,98,Average
241,3011,1443,2.7,0.5,60,Poor
242,4483,611,4.8,0.29,61,Poor
243,3827,2201,2.6,0.07,30,Poor
244,2919,440,3.7,0.14,91,Average
245,3284,2280,4.3,0.08,26,Average
246,3841,2967,3.5,0.06,99,Poor
247,1006,501,3.0,0.4,0,Poor
248,4117,367,4.4,0.25,40,Poor
249,210,185,4.5,0.32,13,Poor
250,4543,4463,4.8,0.17,73,Average
251,1350,868,3.4,0.28,49,Poor
252,4961,4513,3.8,0.13,41,Average
253,4037,602,3.4,0.15,70,Poor
254,1577,745,3.1,0.33,39,Poor
255,1268,1264,4.4,0.08,13,Good
256,4546,4423,3.3,0.31,99,Poor
257,4785,3058,3.6,0.43,90,Poor
258,3154,2865,3.5,0.06,10,Poor
259,2785,2533,4.3,0.45,62,Poor
260,4605,4214,4.8,0.04,48,Average
261,1004,261,4.2,0.17,36,Average
262,4615,4273,3.7,0.31,9,Poor
263,3496,2677,4.4,0.28,53,Poor
264,1095,573,4.1,0.05,6,Good
265,1743,670,2.7,0.4,80,Poor
266,3486,2987,2.7,0.49,11,Poor
267,612,246,2.6,0.09,54,Poor
268,2535,2490,3.6,0.45,35,Poor
269,3404,3163,4.6,0.28,6,Poor
270,275,262,3.3,0.47,23,Poor
271,4943,2597,3.5,0.09,33,Poor
272,1009,608,4.8,0.4,64,Poor
273,4598,1088,4.6,0.03,28,Average
274,3117,1515,4.2,0.44,25,Poor
275,865,390,3.2,0.34,73,Poor
276,4804,2756,2.8,0.19,64,Poor
277,4692,1970,2.5,0.1,44,Poor
278,3170,111,2.8,0.41,16,Poor
279,66,41,3.2,0.3,35,Poor
280,1293,191,3.9,0.18,72,Average
281,2255,1647,2.7,0.22,62,Poor
282,2574,1235,2.8,0.41,22,Poor
283,1119,198,3.0,0.17,92,Poor
284,3494,2305,4.1,0.04,65,Average
285,2615,299,4.0,0.46,81,Poor
286,1110,1062,3.9,0.19,91,Average
287,2377,1638,3.1,0.17,41,Poor
288,3470,2807,3.4,0.1,70,Poor
289,351,284,2.7,0.45,74,Poor
290,4326,3203,3.1,0.11,70,Poor
291,656,240,4.7,0.32,42,Poor
292,3220,2987,4.9,0.44,87,Poor
293,749,323,4.1,0.02,54,Average
294,1189,457,4.8,0.41,55,Poor
295,240,189,4.1,0.21,78,Poor
296,2350,2081,2.6,0.33,30,Poor
297,1030,762,5.0,0.19,82,Average
298,3025,688,2.7,0.35,55,Poor
299,1234,519,4.2,0.13,73,Average
300,3377,1434,3.1,0.01,47,Poor
301,3444,1592,3.5,0.47,51,Poor
302,177,72,4.1,0.01,71,Average
303,2115,549,3.6,0.41,0,Poor
304,1866,511,3.1,0.08,1,Poor
305,619,569,3.3,0.2,92,Poor
306,1945,1742,3.4,0.41,41,Poor
307,2783,1239,4.9,0.1,73,Average
308,3913,774,4.5,0.43,8,Poor
309,4771,2367,3.6,0.25,30,Poor
310,4064,834,3.0,0.18,95,Poor
311,2951,2614,4.5,0.33,1,Poor
312,1736,746,2.9,0.17,23,Poor
313,3059,750,3.0,0.17,42,Poor
314,204,79,3.4,0.37,69,Poor
315,2587,1351,4.7,0.15,71,Average
316,1459,1295,2.8,0.1,88,Poor
317,4107,3099,2.8,0.4,42,Poor
318,834,787,3.7,0.4,50,Poor
319,3225,894,3.2,0.25,88,Poor
320,4391,3299,3.9,0.26,45,Poor
321,2856,2198,3.6,0.35,74,Poor
322,587,45,3.6,0.25,98,Poor
323,1891,1666,2.8,0.21,0,Poor
324,2505,1497,2.9,0.5,86,Poor
325,574,205,4.6,0.07,66,Average
326,3000,503,4.7,0.3,0,Poor
327,4181,2747,3.1,0.44,62,Poor
328,4830,1094,2.8,0.34,75,Poor
329,4165,1934,2.6,0.44,61,Poor
330,2418,2072,4.0,0.17,60,Average
331,3897,608,4.3,0.14,39,Average
332,4545,3251,3.4,0.43,94,Poor
333,2751,2275,4.2,0.2,28,Poor
334,1021,276,4.3,0.35,34,Poor
335,1216,30,4.8,0.07,91,Average
336,4979,2075,2.7,0.38,84,Poor
337,2824,2099,3.0,0.27,10,Poor
338,2032,2027,2.7,0.13,89,Poor
339,903,559,4.7,0.25,10,Poor
340,4196,3072,4.5,0.35,62,Poor
341,3786,406,3.9,0.01,68,Average
342,3819,1271,2.7,0.32,55,Poor
343,624,494,3.2,0.27,6,Poor
344,3311,226,3.2,0.11,50,Poor
345,1198,576,3.9,0.38,94,Poor
346,1765,1660,3.1,0.15,38,Poor
347,4827,1744,2.7,0.14,41,Poor
348,4983,2804,4.3,0.24,71,Poor
349,3904,961,3.2,0.34,52,Poor
350,2541,1185,3.6,0.46,90,Poor
351,2710,2243,2.8,0.07,20,Poor
352,3174,1697,4.5,0.2,29,Poor
353,3101,468,3.9,0.03,77,Average
354,54,35,4.8,0.38,0,Poor
355,4919,101,3.7,0.22,23,Poor
356,926,154,4.9,0.35,5,Poor
357,1041,738,4.7,0.16,5,Average
358,4192,1426,3.9,0.42,68,Poor
359,4414,1500,4.8,0.27,61,Poor
360,4515,1099,3.3,0.47,34,Poor
361,685,546,3.4,0.04,78,Poor
362,1743,716,2.6,0.26,34,Poor
363,1732,438,4.0,0.38,47,Poor
364,4802,4203,4.3,0.3,71,Poor
365,169,116,4.4,0.01,42,Average
366,880,675,2.9,0.49,34,Poor
367,3725,3099,3.6,0.15,4,Average
368,1419,234,2.9,0.12,30,Poor
369,790,704,4.2,0.24,30,Poor
370,166,59,2.9,0.27,7,Poor
371,2888,1540,4.8,0.38,5,Poor
372,1200,522,3.1,0.2,86,Poor
373,1981,1825,3.2,0.22,52,Poor
374,1062,718,4.6,0.27,79,Poor
375,1714,264,3.6,0.2,43,Poor
376,1131,328,2.6,0.46,48,Poor
377,4779,250,3.7,0.43,7,Poor
378,562,402,2.7,0.23,63,Poor
379,2899,174,5.0,0.0,3,Excellent
380,609,194,4.0,0.45,31,Poor
381,3722,2915,3.1,0.06,52,Poor
382,4633,134,3.9,0.12,66,Average
383,3393,1433,2.7,0.08,62,Poor
384,4120,1012,4.5,0.09,79,Average
385,4849,2367,4.8,0.4,59,Poor
386,1520,1061,4.7,0.29,97,Poor
387,630,31,3.4,0.48,76,Poor
388,2344,1447,3.3,0.12,32,Poor
389,3197,2299,2.6,0.24,21,Poor
390,4299,3696,4.1,0.49,30,Poor
391,1729,749,3.8,0.41,23,Poor
392,3556,1321,3.6,0.36,2,Poor
393,2794,1396,4.8,0.09,32,Average
394,3406,3085,2.9,0.38,93,Poor
395,4095,2056,2.5,0.17,25,Poor
396,1293,1018,2.7,0.27,97,Poor
397,3168,2370,3.1,0.3,50,Poor
398,2191,560,2.6,0.3,85,Poor
399,3109,2537,3.8,0.36,29,Poor
400,4598,2880,3.3,0.33,34,Poor
401,3009,96,3.0,0.03,24,Poor
402,2315,43,4.4,0.23,27,Poor
403,2529,1058,3.0,0.33,96,Poor
404,4696,695,4.2,0.15,86,Average
405,1685,544,3.4,0.16,25,Poor
406,1807,366,3.8,0.06,72,Average
407,4502,4287,4.8,0.21,7,Poor
408,2120,1912,2.6,0.49,96,Poor
409,2899,2779,3.8,0.14,14,Average
410,3301,508,4.6,0.27,48,Poor
411,3780,1505,4.0,0.37,7,Poor
412,2539,2445,3.2,0.01,54,Poor
413,1681,1631,3.5,0.45,84,Poor
414,2866,2439,4.2,0.19,57,Average
415,1065,1019,4.7,0.43,2,Poor
416,1398,996,2.6,0.02,8,Poor
417,4661,3515,2.7,0.07,13,Poor
418,3137,776,3.3,0.16,90,Poor
419,2889,2544,3.1,0.17,19,Poor
420,385,174,3.2,0.42,3,Poor
421,4642,276,3.1,0.01,23,Poor
422,945,775,3.0,0.32,90,Poor
423,3596,693,2.8,0.07,75,Poor
424,901,87,4.8,0.41,27,Poor
425,1737,363,2.9,0.39,98,Poor
426,1981,1320,3.0,0.25,87,Poor
427,3796,692,3.1,0.11,30,Poor
428,2477,2458,4.8,0.32,66,Poor
429,1618,1492,4.4,0.08,93,Average
430,4050,278,4.5,0.1,63,Average
431,2788,326,2.8,0.31,90,Poor
432,3548,1138,4.6,0.5,16,Poor
433,3963,3017,3.5,0.45,5,Poor
434,1116,989,3.2,0.3,81,Poor
435,4430,4361,3.9,0.27,59,Poor
436,2494,1678,4.6,0.5,98,Poor
437,4157,206,4.4,0.27,90,Poor
438,3423,1817,4.7,0.21,80,Poor
439,4019,944,4.8,0.45,10,Poor
440,2596,804,3.1,0.12,37,Poor
441,803,392,3.6,0.05,33,Average
442,2132,1615,2.5,0.32,46,Poor
443,2824,2475,4.7,0.05,31,Average
444,2946,1380,2.9,0.19,56,Poor
445,4235,360,4.7,0.21,45,Poor
446,825,582,3.3,0.27,34,Poor
447,1675,1221,3.4,0.5,91,Poor
448,3119,670,2.6,0.11,21,Poor
449,467,459,3.3,0.19,15,Poor
450,164,90,4.7,0.07,75,Average
451,666,189,2.6,0.3,4,Poor
452,4024,3130,3.5,0.36,89,Poor
453,3317,88,2.6,0.24,25,Poor
454,875,255,3.4,0.12,76,Poor
455,1566,400,2.9,0.31,23,Poor
456,3196,2124,3.1,0.27,66,Poor
457,462,296,4.7,0.09,31,Average
458,778,118,3.6,0.2,22,Poor
459,3398,935,3.2,0.22,48,Poor
460,2858,2392,4.0,0.49,61,Poor
461,725,480,2.9,0.42,76,Poor
462,3515,2246,3.1,0.37,78,Poor
463,2554,863,3.9,0.44,65,Poor
464,3017,593,3.1,0.37,10,Poor
465,2836,138,4.2,0.45,79,Poor
466,1172,568,3.7,0.03,17,Average
467,4129,1498,4.4,0.23,97,Poor
468,1621,45,4.9,0.37,9,Poor
469,2193,1533,2.8,0.29,76,Poor
470,1737,1051,3.3,0.09,95,Poor
471,4182,988,3.3,0.17,59,Poor
472,3901,2030,2.9,0.16,7,Poor
473,3490,1559,4.5,0.13,70,Average
474,3816,2600,4.4,0.17,47,Average
475,2376,2216,3.7,0.26,80,Poor
476,2964,1531,3.8,0.43,40,Poor
477,4002,1068,2.6,0.37,90,Poor
478,645,574,3.9,0.42,7,Poor
479,778,444,4.5,0.44,92,Poor
480,1415,312,3.9,0.21,36,Poor
481,4542,2621,3.2,0.17,90,Poor
482,748,450,4.2,0.03,36,Average
483,445,111,3.4,0.47,63,Poor
484,4221,1608,3.9,0.03,58,Average
485,4410,615,3.7,0.37,87,Poor
486,2552,2143,3.5,0.19,44,Poor
487,1869,884,4.3,0.47,15,Poor
488,767,728,4.7,0.21,25,Poor
489,2832,2553,2.5,0.41,30,Poor
490,4996,3889,4.8,0.14,26,Average
491,3627,3179,3.8,0.15,89,Average
492,193,26,4.3,0.3,42,Poor
493,3190,2617,4.6,0.5,14,Poor
494,4541,995,3.7,0.26,57,Poor
495,2988,1095,4.6,0.47,48,Poor
496,3686,3009,2.9,0.39,78,Poor
497,3272,2986,2.9,0.4,86,Poor
498,1217,1186,4.1,0.22,24,Poor
499,2666,2048,4.7,0.19,67,Average
500,1112,382,4.7,0.1,35,Average
501,2206,253,4.1,0.48,79,Poor
502,3032,2642,3.8,0.48,46,Poor
503,3344,1751,3.3,0.37,58,Poor
504,4779,46,5.0,0.15,84,Average
505,1206,112,3.3,0.12,51,Poor
506,782,636,4.4,0.49,39,Poor
507,4380,328,3.8,0.03,42,Average
508,4896,71,4.0,0.42,55,Poor
509,1003,338,3.5,0.18,80,Poor
510,2589,2012,4.9,0.21,2,Poor
511,3374,200,3.9,0.42,70,Poor
512,3351,1612,4.8,0.05,11,Good
513,1592,1163,2.5,0.18,64,Poor
514,1241,894,3.9,0.48,42,Poor
515,3043,666,4.3,0.35,69,Poor
516,2731,1981,4.4,0.38,45,Poor
517,1267,216,4.8,0.38,59,Poor
518,1590,664,2.5,0.03,60,Poor
519,3286,3038,2.5,0.1,48,Poor
520,2436,2322,3.7,0.25,86,Poor
521,3769,2044,2.6,0.18,24,Poor
522,1438,751,4.9,0.21,88,Poor
523,1906,355,3.1,0.39,2,Poor
524,1415,1009,3.7,0.01,67,Average
525,549,274,2.7,0.33,62,Poor
526,1730,533,3.8,0.0,29,Average
527,560,261,3.4,0.03,96,Poor
528,4362,1753,2.6,0.2,92,Poor
529,1374,1342,3.3,0.42,3,Poor
530,1205,776,3.5,0.07,77,Poor
531,1877,639,5.0,0.28,84,Poor
532,3191,2520,3.0,0.34,70,Poor
533,3536,3484,3.9,0.11,20,Average
534,1860,231,5.0,0.26,70,Poor
535,2973,687,4.5,0.46,0,Poor
536,2264,613,5.0,0.26,59,Poor
537,4236,2679,4.9,0.08,33,Average
538,763,275,3.7,0.31,86,Poor
539,3652,1522,4.2,0.3,2,Poor
540,4184,2130,2.8,0.01,17,Poor
541,3572,1354,3.6,0.05,42,Average
542,4318,426,4.5,0.08,75,Average
543,4798,2869,3.8,0.07,77,Average
544,4899,3196,4.3,0.13,40,Average
545,1293,34,4.4,0.23,91,Poor
546,3759,1730,3.1,0.19,23,Poor
547,1131,278,4.7,0.45,23,Poor
548,505,230,3.6,0.31,2,Poor
549,4974,1302,3.0,0.44,58,Poor
550,944,633,4.7,0.26,57,Poor
551,1434,1303,3.5,0.04,72,Poor
552,2008,1899,4.4,0.23,23,Poor
553,3122,1714,3.9,0.41,65,Poor
554,2046,1088,3.5,0.1,39,Poor
555,4335,1998,4.5,0.05,91,Average
556,554,350,4.0,0.16,70,Average
557,1264,184,3.5,0.19,8,Poor
558,1581,1236,2.8,0.15,59,Poor
559,3490,1564,4.7,0.07,38,Average
560,873,420,2.6,0.13,32,Poor
561,978,393,4.7,0.34,33,Poor
562,183,84,3.4,0.19,61,Poor
563,2155,406,4.1,0.32,84,Poor
564,3677,1538,4.8,0.27,60,Poor
565,4830,3357,2.9,0.27,92,Poor
566,1902,347,3.9,0.12,26,Average
567,4960,1260,4.4,0.26,16,Poor
568,4225,339,4.4,0.01,59,Average
569,2983,418,3.8,0.22,41,Poor
570,3334,1934,4.1,0.29,46,Poor
571,4348,4220,4.4,0.09,86,Average
572,2861,715,4.6,0.13,52,Average
573,1300,1036,4.4,0.11,20,Average
574,3562,349,3.4,0.04,7,Poor
575,1306,679,5.0,0.17,72,Average
576,3426,3138,3.6,0.49,96,Poor
577,3536,2666,2.6,0.18,57,Poor
578,3634,840,3.4,0.23,67,Poor
579,1446,660,2.8,0.33,62,Poor
580,3687,1813,2.8,0.32,58,Poor
581,3380,2381,3.2,0.47,81,Poor
582,2753,481,2.6,0.43,95,Poor
583,520,91,4.2,0.4,29,Poor
584,1403,505,2.7,0.48,24,Poor
585,2833,1695,3.0,0.12,96,Poor
586,2881,2477,2.7,0.31,98,Poor
587,407,46,2.7,0.44,55,Poor
588,3069,290,3.2,0.31,33,Poor
589,717,705,3.9,0.49,49,Poor
590,4518,4500,4.9,0.05,1,Good
591,1195,79,4.7,0.22,76,Poor
592,4235,239,4.7,0.49,52,Poor
593,3769,1484,2.9,0.19,40,Poor
594,2795,1926,3.2,0.37,22,Poor
595,589,583,2.7,0.02,60,Poor
596,2829,1615,4.4,0.35,86,Poor
597,4186,2613,2.7,0.47,30,Poor
598,4885,115,3.9,0.19,65,Average
599,3825,1008,3.1,0.01,1,Poor
600,2558,1132,3.1,0.01,68,Poor
601,2829,1965,5.0,0.45,59,Poor
602,974,250,4.4,0.36,77,Poor
603,3006,987,4.6,0.05,22,Average
604,1631,294,3.9,0.03,56,Average
605,3374,265,4.7,0.4,34,Poor
606,4535,2178,4.1,0.4,0,Poor
607,305,253,4.9,0.06,47,Average
608,4854,3369,3.2,0.15,48,Poor
609,1888,1520,4.0,0.39,39,Poor
610,1994,436,4.2,0.26,61,Poor
611,59,57,3.5,0.48,14,Poor
612,2921,1171,4.7,0.24,29,Poor
613,847,256,4.9,0.34,20,Poor
614,1065,822,3.7,0.25,7,Poor
615,1874,638,3.5,0.47,6,Poor
616,4519,3219,3.7,0.2,33,Poor
617,3186,2774,4.6,0.11,63,Average
618,2243,1437,4.1,0.16,41,Average
619,273,238,2.6,0.43,52,Poor
620,4998,674,3.9,0.25,95,Poor
621,4208,2462,2.5,0.18,96,Poor
622,3975,130,4.4,0.27,69,Poor
623,4834,109,3.3,0.07,9,Poor
624,4050,782,3.7,0.0,89,Average
625,1683,1323,4.5,0.14,57,Average
626,2202,1376,2.6,0.3,89,Poor
627,560,243,2.9,0.36,82,Poor
628,434,120,3.5,0.41,98,Poor
629,454,151,3.1,0.46,3,Poor
630,4663,2524,3.3,0.21,88,Poor
631,4621,1484,5.0,0.37,7,Poor
632,2050,117,4.6,0.04,11,Good
633,2806,1163,4.7,0.03,87,Average
634,1718,312,4.8,0.06,87,Average
635,1510,1044,3.4,0.22,80,Poor
636,3686,2639,3.2,0.11,24,Poor
637,2774,2317,3.1,0.14,96,Poor
638,4859,4767,4.6,0.32,26,Poor
639,4228,2216,4.2,0.18,1,Average
640,2098,1926,3.1,0.28,72,Poor
641,4196,1741,3.4,0.21,54,Poor
642,4830,3711,3.8,0.08,57,Average
643,766,63,3.8,0.04,32,Average
644,4594,1836,4.7,0.12,82,Average
645,4633,272,3.5,0.03,48,Poor
646,1873,151,4.8,0.31,4,Poor
647,2131,1927,3.6,0.4,46,Poor
648,3469,1930,4.4,0.17,83,Average
649,1624,493,4.8,0.19,23,Average
650,299,163,4.8,0.41,94,Poor
651,723,128,2.6,0.11,43,Poor
652,4583,1078,3.0,0.06,67,Poor
653,2215,1945,3.7,0.25,95,Poor
654,820,294,3.6,0.32,98,Poor
655,4012,206,4.1,0.3,13,Poor
656,4413,968,4.9,0.36,35,Poor
657,2034,262,2.8,0.03,50,Poor
658,1127,283,3.6,0.21,5,Poor
